,Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
65,UBER,UBER,UBER,2018,8,August,14060879,4027450,72344
126,UBER,UBER,UBER,2015,3,March,2259575,0,14290
337,UBER,UBER,UBER,2015,12,December,4343828,0,28716
1746,UBER,UBER,UBER,2020,2,February,15743375,1102238,68833
2134,UBER,UBER,UBER,2015,1,January,1871075,0,12544
2654,UBER,UBER,UBER,2017,1,January,7736951,0,48451
3797,UBER,UBER,UBER,2017,7,July,8962215,1120206,58215
4788,UBER,UBER,UBER,2019,7,July,14042889,1528499,75420
5186,UBER,UBER,UBER,2017,11,November,10693287,2106689,62549
5972,UBER,UBER,UBER,2015,9,September,3709270,0,25035
6725,UBER,UBER,UBER,2017,5,May,8794695,0,54465
6951,UBER,UBER,UBER,2019,11,November,15610941,1156047,71965
7693,UBER,UBER,UBER,2020,4,April,3102835,0,19449
8808,UBER,UBER,UBER,2018,9,September,14049967,3943561,74249
10204,UBER,UBER,UBER,2015,6,June,2816572,0,18751
10320,UBER,UBER,UBER,2016,6,June,5358138,0,34327
11496,UBER,UBER,UBER,2018,2,February,11506356,2643389,65375
11800,UBER,UBER,UBER,2018,5,May,13579992,3319850,70054
12064,UBER,UBER,UBER,2016,11,November,6973356,0,45182
12377,UBER,UBER,UBER,2016,7,July,5899045,0,35765
13397,UBER,UBER,UBER,2019,9,September,13964765,1428238,73065
14027,UBER,UBER,UBER,2019,6,June,14396737,1245713,76681
15021,UBER,UBER,UBER,2017,4,April,8181383,0,51875
16171,UBER,UBER,UBER,2019,8,August,13925893,1484807,73692
16240,UBER,UBER,UBER,2020,3,March,9836763,527848,66471
16494,UBER,UBER,UBER,2019,1,January,16184069,4110424,79178
16776,UBER,UBER,UBER,2018,3,March,13462091,3523078,66567
17288,UBER,UBER,UBER,2015,10,October,4359759,0,26875
17340,UBER,UBER,UBER,2019,10,October,14509882,1275611,72581
17518,UBER,UBER,UBER,2018,1,January,11671765,2613169,65187
18656,UBER,UBER,UBER,2015,7,July,3107558,0,21616
19085,UBER,UBER,UBER,2017,2,February,7244518,0,48847
19597,UBER,UBER,UBER,2019,2,February,13503042,2945777,77712
19841,UBER,UBER,UBER,2019,5,May,15876062,2031552,77654
20040,UBER,UBER,UBER,2017,10,October,10135304,1585613,61613
20628,UBER,UBER,UBER,2018,10,October,14663999,4045741,75606
20899,UBER,UBER,UBER,2015,4,April,2280332,0,14952
21780,UBER,UBER,UBER,2017,12,December,11836385,2455725,64294
22075,UBER,UBER,UBER,2016,9,September,6481751,0,43131
22429,UBER,UBER,UBER,2016,10,October,7007436,0,44076
22661,UBER,UBER,UBER,2017,6,June,8898156,1096338,56712
22934,UBER,UBER,UBER,2016,3,March,4949743,0,29835
22987,UBER,UBER,UBER,2015,5,May,1854691,0,12472
23165,UBER,UBER,UBER,2016,8,August,5893649,0,40336
23357,UBER,UBER,UBER,2018,4,April,13222485,3549372,67970
23471,UBER,UBER,UBER,2019,4,April,15657427,2520648,78257
23571,UBER,UBER,UBER,2019,12,December,16105602,1045262,71488
23680,UBER,UBER,UBER,2015,8,August,3316381,0,23350
23733,UBER,UBER,UBER,2018,12,December,14999895,3802083,78093
23825,UBER,UBER,UBER,2018,6,June,13267600,3171911,71006
24201,UBER,UBER,UBER,2015,11,November,4178591,0,27666
24472,UBER,UBER,UBER,2020,1,January,14582477,1047431,70087
24639,UBER,UBER,UBER,2016,1,January,4301254,0,29665
25319,UBER,UBER,UBER,2016,5,May,5391879,0,32505
26060,UBER,UBER,UBER,2017,3,March,8641724,0,49990
26102,UBER,UBER,UBER,2017,8,August,8992847,1290877,58787
26300,UBER,UBER,UBER,2016,2,February,4827339,0,29538
26829,UBER,UBER,UBER,2016,4,April,5103751,0,30702
26866,UBER,UBER,UBER,2017,9,September,9525248,1449643,60011
26925,UBER,UBER,UBER,2018,7,July,14063243,3877702,71836
28973,UBER,UBER,UBER,2016,12,December,7880513,0,46886
29057,UBER,UBER,UBER,2018,11,November,14554993,3858407,76494
29905,UBER,UBER,UBER,2015,2,February,2178305,0,13531
30133,UBER,UBER,UBER,2019,3,March,17247995,2973699,78973
